method,category,defect_type,count,mean,std,min,25%,50%,75%,max
Fusion RankAvg,breakfast_box,good,102.0,0.6640254179621662,0.10633224409567318,0.396262680192205,0.5845168179391351,0.672023491724506,0.7512546716497598,0.8650293646556326
Fusion RankAvg,breakfast_box,logical_anomalies,83.0,0.8204902900443204,0.12717548457189085,0.4296849973304859,0.7407367859049653,0.8308595835557929,0.9283502402562733,0.997650827549386
Fusion RankAvg,breakfast_box,structural_anomalies,90.0,0.7226232425698522,0.10858282587783805,0.4413240790176188,0.6654564869193806,0.7454351308061933,0.8009076348104643,0.9112653497063536
Fusion RankAvg,juice_bottle,good,94.0,0.5487987186332087,0.07442960968945202,0.3747997864388681,0.5049386011745862,0.5499733048585158,0.6019220501868661,0.7641217298451682
Fusion RankAvg,juice_bottle,logical_anomalies,142.0,0.7091387620974109,0.12856475524983507,0.4247730912973838,0.6175387079551522,0.7000533902829684,0.8048585157501335,0.9518419647624132
Fusion RankAvg,juice_bottle,structural_anomalies,94.0,0.6500073837625382,0.08660897518969264,0.4531767218366257,0.5970902295782168,0.6552589428723972,0.6937533368926855,0.8716497597437266
Fusion RankAvg,pushpins,good,138.0,0.34033751944102697,0.15192343468779781,0.0186865990389749,0.23208756006406833,0.3775226908702616,0.4423918846769888,0.6934329951948747
Fusion RankAvg,pushpins,logical_anomalies,91.0,0.38401225042976234,0.14256816818566997,0.1555792845702082,0.2997330485851575,0.3643352909770422,0.4335824879871863,0.8508275493860118
Fusion RankAvg,pushpins,structural_anomalies,81.0,0.7186094797413538,0.07974604724079921,0.4633208756006406,0.6857447944474105,0.7389215162840362,0.7717031500266952,0.8543513080619327
Fusion RankAvg,screw_bag,good,122.0,0.27752531662188296,0.12128659821515222,0.0762413240790176,0.18785371062466633,0.2596369460758142,0.3552589428723972,0.6878804057661506
Fusion RankAvg,screw_bag,logical_anomalies,137.0,0.36553793632916465,0.13890633944757638,0.1135077415910304,0.2466631073144687,0.3601708489054992,0.4671649759743727,0.7231179925253604
Fusion RankAvg,screw_bag,structural_anomalies,82.0,0.45487609547745234,0.14888412451321442,0.182594767752269,0.34340630005339023,0.4206620395088094,0.5697277095568606,0.8556326748531766
Fusion RankAvg,splicing_connectors,good,119.0,0.3863123466151009,0.125545049386897,0.0961025093432995,0.2948211425520555,0.391243993593166,0.48419647624132406,0.6485851575013346
Fusion RankAvg,splicing_connectors,logical_anomalies,108.0,0.3795307587352435,0.1397792386924313,0.0971703150026695,0.2698611852642818,0.3539775760811532,0.4597971169247197,0.7741591030432462
Fusion RankAvg,splicing_connectors,structural_anomalies,85.0,0.47494362614239494,0.1819032036212085,0.1468232781633742,0.3534436732514682,0.4545648691938068,0.5831286705819541,0.9711692471970104
Fusion WeightedAvg,breakfast_box,good,102.0,0.7432339791107245,0.5062788688120293,-0.3352428606509851,0.4161947857144862,0.7096596476986222,1.0956231662872828,2.053681702674996
Fusion WeightedAvg,breakfast_box,logical_anomalies,83.0,7.42481676852801,10.027186914199886,-0.1790305916766107,1.2583482704322757,2.1904793532664786,9.026242143165494,37.25657923192087
Fusion WeightedAvg,breakfast_box,structural_anomalies,90.0,1.2434991420948651,0.7710479226878464,-0.1316275464921256,0.7095958108260061,1.2305327274987108,1.7241674060339687,3.2676251748220304
Fusion WeightedAvg,juice_bottle,good,94.0,0.3091024620852337,0.24645191363594213,-0.2629113096574768,0.13576188934930317,0.3061695242023656,0.46352339396301795,1.1521222915152889
