method,category,anomaly_type,n_good,n_anomaly,auroc,f1,precision,recall,val_threshold
Composition Histogram (BoVW),breakfast_box,logical,102,83,0.879872430900071,0.7482014388489209,0.9285714285714286,0.6265060240963856,8.743509043571384
Composition Histogram (BoVW),breakfast_box,structural,102,90,0.593355119825708,0.19230769230769232,0.7142857142857143,0.1111111111111111,8.743509043571384
Composition Histogram (BoVW),breakfast_box,overall,102,173,0.7308171823642752,0.5188284518828452,0.9393939393939394,0.3583815028901734,8.743509043571384
Composition Histogram (BoVW),juice_bottle,logical,94,142,0.717635600839077,0.6180257510729614,0.7912087912087912,0.5070422535211268,4.899500776969623
Composition Histogram (BoVW),juice_bottle,structural,94,94,0.6133997283838841,0.4520547945205479,0.6346153846153846,0.35106382978723405,4.899500776969623
Composition Histogram (BoVW),juice_bottle,overall,94,236,0.6761179228272629,0.5833333333333334,0.8467741935483871,0.4449152542372881,4.899500776969623
Composition Histogram (BoVW),pushpins,logical,138,91,0.5934065934065934,0.3283582089552239,0.5116279069767442,0.24175824175824176,5.419217752228485
Composition Histogram (BoVW),pushpins,structural,138,81,0.9197530864197531,0.7928994082840237,0.7613636363636364,0.8271604938271605,5.419217752228485
Composition Histogram (BoVW),pushpins,overall,138,172,0.747093023255814,0.6312056737588653,0.8090909090909091,0.5174418604651163,5.419217752228485
Composition Histogram (BoVW),screw_bag,logical,122,137,0.6265406246260621,0.1360544217687075,1.0,0.072992700729927,6.797454654384737
Composition Histogram (BoVW),screw_bag,structural,122,82,0.712015193922431,0.3434343434343434,1.0,0.2073170731707317,6.797454654384737
Composition Histogram (BoVW),screw_bag,overall,122,219,0.6585448012575791,0.21951219512195122,1.0,0.1232876712328767,6.797454654384737
Composition Histogram (BoVW),splicing_connectors,logical,119,108,0.5139277933395581,0.3586206896551724,0.7027027027027027,0.24074074074074073,6.6986252165657785
Composition Histogram (BoVW),splicing_connectors,structural,119,85,0.45407810182896685,0.15384615384615385,0.42105263157894735,0.09411764705882353,6.6986252165657785
Composition Histogram (BoVW),splicing_connectors,overall,119,193,0.4875691209126138,0.2857142857142857,0.7555555555555555,0.17616580310880828,6.6986252165657785
Fusion (mean),breakfast_box,logical,102,83,0.8569572407276163,0.6923076923076923,0.9574468085106383,0.5421686746987951,1.8816750454108147
Fusion (mean),breakfast_box,structural,102,90,0.6949891067538126,0.37168141592920356,0.9130434782608695,0.23333333333333334,1.8816750454108147
Fusion (mean),breakfast_box,overall,102,173,0.7726963617817069,0.5477178423236515,0.9705882352941176,0.3815028901734104,1.8816750454108147
Fusion (mean),juice_bottle,logical,94,142,0.8620017980221756,0.7952755905511811,0.9017857142857143,0.7112676056338029,0.5975526461078372
Fusion (mean),juice_bottle,structural,94,94,0.8391806247170664,0.7425149700598802,0.8493150684931506,0.6595744680851063,0.5975526461078372
Fusion (mean),juice_bottle,overall,94,236,0.8529120086548865,0.7951219512195122,0.9367816091954023,0.690677966101695,0.5975526461078372
Fusion (mean),pushpins,logical,138,91,0.5411689759515846,0.5482625482625483,0.4226190476190476,0.7802197802197802,-0.3137263316446319
Fusion (mean),pushpins,structural,138,81,0.9899803184827339,0.6254826254826255,0.4550561797752809,1.0,-0.3137263316446319
Fusion (mean),pushpins,overall,138,172,0.7525278058645096,0.7220902612826603,0.6104417670682731,0.8837209302325582,-0.3137263316446319
Fusion (mean),screw_bag,logical,122,137,0.6925332056958239,0.2625,0.9130434782608695,0.15328467153284672,0.1828878682518726
Fusion (mean),screw_bag,structural,122,82,0.8183726509396242,0.4864864864864865,0.9310344827586207,0.32926829268292684,0.1828878682518726
Fusion (mean),screw_bag,overall,122,219,0.7396511714948724,0.35687732342007433,0.96,0.2191780821917808,0.1828878682518726
Fusion (mean),splicing_connectors,logical,119,108,0.48303765950824773,0.3142857142857143,0.6875,0.2037037037037037,0.1763348763313543
Fusion (mean),splicing_connectors,structural,119,85,0.6410281759762728,0.49206349206349204,0.7560975609756098,0.36470588235294116,0.1763348763313543
Fusion (mean),splicing_connectors,overall,119,193,0.5526189750511603,0.4140625,0.8412698412698413,0.27461139896373055,0.1763348763313543
Fusion (max),breakfast_box,logical,102,83,0.8466808410111033,0.7313432835820896,0.9607843137254902,0.5903614457831325,3.0588942033965045
Fusion (max),breakfast_box,structural,102,90,0.6866013071895426,0.5040650406504065,0.9393939393939394,0.34444444444444444,3.0588942033965045
Fusion (max),breakfast_box,overall,102,173,0.7634024708149156,0.6274509803921569,0.975609756097561,0.4624277456647399,3.0588942033965045
Fusion (max),juice_bottle,logical,94,142,0.8620017980221757,0.782608695652174,0.8918918918918919,0.6971830985915493,1.5932149177885384
Fusion (max),juice_bottle,structural,94,94,0.7746717971933001,0.6496815286624203,0.8095238095238095,0.5425531914893617,1.5932149177885384
Fusion (max),juice_bottle,overall,94,236,0.8272178146411828,0.7537688442211056,0.9259259259259259,0.635593220338983,1.5932149177885384
Fusion (max),pushpins,logical,138,91,0.5598821468386685,0.5947955390334573,0.449438202247191,0.8791208791208791,1.2439552175822997
Fusion (max),pushpins,structural,138,81,0.9893540883879047,0.6230769230769231,0.45251396648044695,1.0,1.2439552175822997
Fusion (max),pushpins,overall,138,172,0.7621334681496461,0.7470997679814385,0.6216216216216216,0.936046511627907,1.2439552175822997
Fusion (max),screw_bag,logical,122,137,0.6752423118343903,0.2375,0.8260869565217391,0.1386861313868613,1.4321619440568174
Fusion (max),screw_bag,structural,122,82,0.8194722111155537,0.49122807017543857,0.875,0.34146341463414637,1.4321619440568174
Fusion (max),screw_bag,overall,122,219,0.7292462010629537,0.34814814814814815,0.9215686274509803,0.2146118721461187,1.4321619440568174
Fusion (max),splicing_connectors,logical,119,108,0.5861344537815126,0.4691358024691358,0.7037037037037037,0.35185185185185186,1.1710278860397418
Fusion (max),splicing_connectors,structural,119,85,0.6298566485417696,0.4580152671755725,0.6521739130434783,0.35294117647058826,1.1710278860397418
Fusion (max),splicing_connectors,overall,119,193,0.6053903426655636,0.49097472924187724,0.8095238095238095,0.35233160621761656,1.1710278860397418
Fusion (rank-avg),breakfast_box,logical,102,83,0.8314434207417905,0.5882352941176471,0.9722222222222222,0.42168674698795183,0.8630005339028296
Fusion (rank-avg),breakfast_box,structural,102,90,0.6580065359477125,0.10416666666666667,0.8333333333333334,0.05555555555555555,0.8630005339028296
Fusion (rank-avg),breakfast_box,overall,102,173,0.7412161396350447,0.37383177570093457,0.975609756097561,0.23121387283236994,0.8630005339028296
Fusion (rank-avg),juice_bottle,logical,94,142,0.8548097093197482,0.7791164658634538,0.9065420560747663,0.6830985915492958,0.6396583021890015
Fusion (rank-avg),juice_bottle,structural,94,94,0.8184133091896786,0.7,0.8484848484848485,0.5957446808510638,0.6396583021890015
Fusion (rank-avg),juice_bottle,overall,94,236,0.8403128380815003,0.7669172932330827,0.9386503067484663,0.6483050847457628,0.6396583021890015
Fusion (rank-avg),pushpins,logical,138,91,0.5228539576365663,0.46017699115044247,0.3851851851851852,0.5714285714285714,0.3445381740523225
Fusion (rank-avg),pushpins,structural,138,81,0.990606548577563,0.6612244897959184,0.49390243902439024,1.0,0.3445381740523225
Fusion (rank-avg),pushpins,overall,138,172,0.7431327940680822,0.6855670103092784,0.6157407407407407,0.7732558139534884,0.3445381740523225
Fusion (rank-avg),screw_bag,logical,122,137,0.6828108172789279,0.21656050955414013,0.85,0.12408759124087591,0.5315963694607582
Fusion (rank-avg),screw_bag,structural,122,82,0.8243202718912435,0.48214285714285715,0.9,0.32926829268292684,0.5315963694607582
Fusion (rank-avg),screw_bag,overall,122,219,0.7357960925218954,0.3308270676691729,0.9361702127659575,0.2009132420091324,0.5315963694607582
Fusion (rank-avg),splicing_connectors,logical,119,108,0.4665032679738562,0.2328767123287671,0.4473684210526316,0.1574074074074074,0.5148318206086492
Fusion (rank-avg),splicing_connectors,structural,119,85,0.6432031636183885,0.4857142857142857,0.6181818181818182,0.4,0.5148318206086492
Fusion (rank-avg),splicing_connectors,overall,119,193,0.5443244655375103,0.3849056603773585,0.7083333333333334,0.26424870466321243,0.5148318206086492
